2024-08-15 11:02:58.619 D [api_tester_player_example] [5538-stamp thread] util.cpp:380 operator() | Stamp thread started
2024-08-15 11:02:58.620 I [api_tester_player_example] [5538-api_tester_play] EventPoller.cpp:592 EventPollerPool | EventPoller created size: 4
2024-08-15 11:02:58.620 I [api_tester_player_example] [5538-api_tester_play] player_example.cpp:90 main | enter any key to exit
2024-08-15 11:02:58.622 D [api_tester_player_example] [5538-event poller 1] RtspPlayer.cpp:99 play | rtsp://192.168.74.128/live/123 null null 0
2024-08-15 11:02:58.622 T [api_tester_player_example] [5538-event poller 1] TcpClient.cpp:79 startConnect | mediakit::RtspPlayerImp-1 start connect 192.168.74.128:554
2024-08-15 11:02:58.622 T [api_tester_player_example] [5538-event poller 1] TcpClient.cpp:89 onSockConnect | mediakit::RtspPlayerImp-1 connect result: 0(success)
2024-08-15 11:02:58.622 T [api_tester_player_example] [5538-event poller 1] RtspPlayer.cpp:734 sendRtspRequest | OPTIONS rtsp://192.168.74.128/live/123
2024-08-15 11:02:58.623 T [api_tester_player_example] [5538-event poller 1] RtspPlayer.cpp:734 sendRtspRequest | DESCRIBE rtsp://192.168.74.128/live/123
2024-08-15 11:02:58.624 T [api_tester_player_example] [5538-event poller 1] RtspPlayer.cpp:734 sendRtspRequest | SETUP rtsp://192.168.74.128/live/123/streamid=0
2024-08-15 11:02:58.624 T [api_tester_player_example] [5538-event poller 1] RtspPlayer.cpp:734 sendRtspRequest | SETUP rtsp://192.168.74.128/live/123/streamid=1
2024-08-15 11:02:58.624 T [api_tester_player_example] [5538-event poller 1] RtspPlayer.cpp:734 sendRtspRequest | PLAY rtsp://192.168.74.128/live/123
2024-08-15 11:02:58.625 D [api_tester_player_example] [5538-event poller 1] RtspPlayer.cpp:536 handleResPAUSE | seekTo(ms):0
2024-08-15 11:02:58.625 W [api_tester_player_example] [5538-event poller 1] RtspPlayer.cpp:814 onPlayResult_l | 0 rtsp play success
2024-08-15 11:02:58.625 D [api_tester_player_example] [5538-event poller 1] MediaSink.cpp:162 emitAllTrackReady | All track ready use 2ms
2024-08-15 11:02:58.625 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:104 on_mk_play_event_func | play success!
2024-08-15 11:02:58.625 I [api_tester_player_example] [5538-event poller 1] player_example.cpp:109 on_mk_play_event_func | got video track: H264
2024-08-15 11:02:58.625 I [api_tester_player_example] [5538-event poller 1] Transcode.cpp:325 getCodec_l | got decoder:h264
2024-08-15 11:02:58.626 W [api_tester_player_example] [5538-event poller 1] Transcode.cpp:95 checkIfSupportedNvidia_l | libnvcuvid.so.1加载失败:invalid argument
2024-08-15 11:02:58.626 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:314 getCodec_l | decoder:h264_nvmpi not found
2024-08-15 11:02:58.626 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:314 getCodec_l | decoder:h264_videotoolbox not found
2024-08-15 11:02:58.626 I [api_tester_player_example] [5538-event poller 1] Transcode.cpp:325 getCodec_l | got decoder:h264
2024-08-15 11:02:58.626 I [api_tester_player_example] [5538-event poller 1] Transcode.cpp:551 FFmpegDecoder | 打开解码器成功:h264
2024-08-15 11:02:58.626 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.626 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
    Last message repeated 10 times
2024-08-15 11:02:58.637 I [api_tester_player_example] [5538-decoder thread] Transcode.cpp:898 inputFrame | sws_getContext:yuv420p -> bgr24
2024-08-15 11:02:58.637 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.637 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
    Last message repeated 23 times
2024-08-15 11:02:58.638 W [api_tester_player_example] [5538-event poller 1] Transcode.cpp:164 addDecodeTask | decode thread start drop frame
2024-08-15 11:02:58.638 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.638 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.638 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.638 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.638 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.638 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.638 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.638 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.638 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.638 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.638 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.638 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
