2024-08-16 14:58:33.714 D [test_long_connection] [80612-stamp thread] util.cpp:380 operator() | Stamp thread started
2024-08-16 14:58:33.714 I [test_long_connection] [80612-test_long_conne] EventPoller.cpp:592 EventPollerPool | EventPoller created size: 4
2024-08-16 14:58:33.715 D [test_long_connection] [80612-event poller 0] RtspPlayer.cpp:99 play | rtsp://192.168.74.128/live/123 null null 0
2024-08-16 14:58:33.715 T [test_long_connection] [80612-event poller 0] TcpClient.cpp:79 startConnect | mediakit::RtspPlayerImp-1 start connect 192.168.74.128:554
2024-08-16 14:58:33.715 T [test_long_connection] [80612-event poller 0] TcpClient.cpp:89 onSockConnect | mediakit::RtspPlayerImp-1 connect result: 0(success)
2024-08-16 14:58:33.715 T [test_long_connection] [80612-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | OPTIONS rtsp://192.168.74.128/live/123
2024-08-16 14:58:33.715 T [test_long_connection] [80612-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | DESCRIBE rtsp://192.168.74.128/live/123
2024-08-16 14:58:33.715 I [test_long_connection] [80612-test_long_conne] player_long_connection.cpp:66 main | enter any key to exit
2024-08-16 14:58:33.716 T [test_long_connection] [80612-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | SETUP rtsp://192.168.74.128/live/123/streamid=0
2024-08-16 14:58:33.717 T [test_long_connection] [80612-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | PLAY rtsp://192.168.74.128/live/123
2024-08-16 14:58:33.717 D [test_long_connection] [80612-event poller 0] RtspPlayer.cpp:536 handleResPAUSE | seekTo(ms):0
2024-08-16 14:58:33.717 W [test_long_connection] [80612-event poller 0] RtspPlayer.cpp:814 onPlayResult_l | 0 rtsp play success
2024-08-16 14:58:33.717 D [test_long_connection] [80612-event poller 0] MediaSink.cpp:162 emitAllTrackReady | All track ready use 1ms
2024-08-16 14:58:33.717 T [test_long_connection] [80612-event poller 0] MediaSink.cpp:280 addMuteAudioTrack | Mute aac track added
2024-08-16 14:58:33.717 D [test_long_connection] [80612-event poller 0] mk_playerkit.h:177 default_onPlayEvent | play success!
2024-08-16 14:58:33.717 I [test_long_connection] [80612-event poller 0] mk_playerkit.h:182 default_onPlayEvent | got video track: H264
2024-08-16 14:58:33.717 I [test_long_connection] [80612-event poller 0] Transcode.cpp:325 getCodec_l | got decoder:h264
2024-08-16 14:58:33.717 W [test_long_connection] [80612-event poller 0] Transcode.cpp:95 checkIfSupportedNvidia_l | libnvcuvid.so.1加载失败:invalid argument
2024-08-16 14:58:33.718 T [test_long_connection] [80612-event poller 0] Transcode.cpp:314 getCodec_l | decoder:h264_nvmpi not found
2024-08-16 14:58:33.718 T [test_long_connection] [80612-event poller 0] Transcode.cpp:314 getCodec_l | decoder:h264_videotoolbox not found
2024-08-16 14:58:33.718 I [test_long_connection] [80612-event poller 0] Transcode.cpp:325 getCodec_l | got decoder:h264
2024-08-16 14:58:33.718 I [test_long_connection] [80612-event poller 0] Transcode.cpp:551 FFmpegDecoder | 打开解码器成功:h264
2024-08-16 14:58:33.726 W [test_long_connection] [80612-event poller 0] Transcode.cpp:164 addDecodeTask | decode thread start drop frame
2024-08-16 14:58:33.726 T [test_long_connection] [80612-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-16 14:58:34.251 T [test_long_connection] [80612-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 30 times
2024-08-16 14:58:34.752 T [test_long_connection] [80612-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 12 times
2024-08-16 14:58:35.295 T [test_long_connection] [80612-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 13 times
2024-08-16 14:58:35.838 T [test_long_connection] [80612-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 13 times
2024-08-16 14:58:36.339 T [test_long_connection] [80612-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 12 times
2024-08-16 14:58:36.879 T [test_long_connection] [80612-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 13 times
2024-08-16 14:58:37.379 T [test_long_connection] [80612-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 12 times
2024-08-16 14:58:37.881 T [test_long_connection] [80612-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 12 times
2024-08-16 14:58:37.881 T [test_long_connection] [80612-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 7 times
2024-08-16 14:58:38.133 I [test_long_connection] [80612-event poller 0] Transcode.cpp:157 addDecodeTask | decode thread stop drop frame
2024-08-16 14:58:38.716 T [test_long_connection] [80612-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | GET_PARAMETER rtsp://192.168.74.128/live/123
2024-08-16 14:58:49.046 W [test_long_connection] [80612-stamp thread] util.cpp:400 operator() | Stamp expired is abnormal: 1656771
2024-08-16 14:58:47.713 W [test_long_connection] [80612-stamp thread] util.cpp:400 operator() | Stamp expired is abnormal: -1692622
2024-08-16 14:58:48.672 T [test_long_connection] [80612-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | TEARDOWN rtsp://192.168.74.128/live/123
2024-08-16 14:58:48.672 D [test_long_connection] [80612-event poller 0] RtspPlayerImp.h:31 ~RtspPlayerImp | 
2024-08-16 14:58:48.673 D [test_long_connection] [80612-event poller 0] RtspPlayer.cpp:37 ~RtspPlayer | 
2024-08-16 14:58:48.673 T [test_long_connection] [80612-event poller 0] TcpClient.cpp:28 ~TcpClient | ~mediakit::RtspPlayerImp-1
2024-08-16 14:58:48.673 I [test_long_connection] [80612-decoder thread] Transcode.cpp:261 onThreadRun | decoder thread exited!
2024-08-16 14:58:48.675 I [test_long_connection] [80612-test_long_conne] EventPoller.cpp:108 ~EventPoller | event poller 0
2024-08-16 14:58:48.675 I [test_long_connection] [80612-test_long_conne] EventPoller.cpp:108 ~EventPoller | event poller 1
2024-08-16 14:58:48.676 I [test_long_connection] [80612-test_long_conne] EventPoller.cpp:108 ~EventPoller | event poller 2
2024-08-16 14:58:48.676 I [test_long_connection] [80612-test_long_conne] EventPoller.cpp:108 ~EventPoller | event poller 3
2024-08-16 14:58:48.676 I [test_long_connection] [80612-test_long_conne] logger.cpp:91 ~Logger | 
2024-08-16 15:01:49.615 D [test_long_connection] [82135-stamp thread] util.cpp:380 operator() | Stamp thread started
2024-08-16 15:01:49.616 I [test_long_connection] [82135-test_long_conne] EventPoller.cpp:592 EventPollerPool | EventPoller created size: 4
2024-08-16 15:01:49.616 D [test_long_connection] [82135-event poller 0] RtspPlayer.cpp:99 play | rtsp://192.168.74.128/live/123 null null 0
2024-08-16 15:01:49.617 T [test_long_connection] [82135-event poller 0] TcpClient.cpp:79 startConnect | mediakit::RtspPlayerImp-1 start connect 192.168.74.128:554
2024-08-16 15:01:49.617 T [test_long_connection] [82135-event poller 0] TcpClient.cpp:89 onSockConnect | mediakit::RtspPlayerImp-1 connect result: 0(success)
2024-08-16 15:01:49.617 T [test_long_connection] [82135-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | OPTIONS rtsp://192.168.74.128/live/123
2024-08-16 15:01:49.617 I [test_long_connection] [82135-test_long_conne] player_long_connection.cpp:69 main | enter any key to exit
2024-08-16 15:01:49.617 T [test_long_connection] [82135-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | DESCRIBE rtsp://192.168.74.128/live/123
2024-08-16 15:01:49.618 T [test_long_connection] [82135-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | SETUP rtsp://192.168.74.128/live/123/streamid=0
2024-08-16 15:01:49.618 T [test_long_connection] [82135-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | PLAY rtsp://192.168.74.128/live/123
2024-08-16 15:01:49.619 D [test_long_connection] [82135-event poller 0] RtspPlayer.cpp:536 handleResPAUSE | seekTo(ms):0
2024-08-16 15:01:49.619 W [test_long_connection] [82135-event poller 0] RtspPlayer.cpp:814 onPlayResult_l | 0 rtsp play success
2024-08-16 15:01:49.619 D [test_long_connection] [82135-event poller 0] MediaSink.cpp:162 emitAllTrackReady | All track ready use 1ms
2024-08-16 15:01:49.619 T [test_long_connection] [82135-event poller 0] MediaSink.cpp:280 addMuteAudioTrack | Mute aac track added
2024-08-16 15:01:49.619 D [test_long_connection] [82135-event poller 0] mk_playerkit.h:177 default_onPlayEvent | play success!
2024-08-16 15:01:49.619 I [test_long_connection] [82135-event poller 0] mk_playerkit.h:182 default_onPlayEvent | got video track: H264
2024-08-16 15:01:49.619 I [test_long_connection] [82135-event poller 0] Transcode.cpp:325 getCodec_l | got decoder:h264
2024-08-16 15:01:49.619 W [test_long_connection] [82135-event poller 0] Transcode.cpp:95 checkIfSupportedNvidia_l | libnvcuvid.so.1加载失败:invalid argument
2024-08-16 15:01:49.619 T [test_long_connection] [82135-event poller 0] Transcode.cpp:314 getCodec_l | decoder:h264_nvmpi not found
2024-08-16 15:01:49.619 T [test_long_connection] [82135-event poller 0] Transcode.cpp:314 getCodec_l | decoder:h264_videotoolbox not found
2024-08-16 15:01:49.619 I [test_long_connection] [82135-event poller 0] Transcode.cpp:325 getCodec_l | got decoder:h264
2024-08-16 15:01:49.620 I [test_long_connection] [82135-event poller 0] Transcode.cpp:551 FFmpegDecoder | 打开解码器成功:h264
2024-08-16 15:01:54.632 T [test_long_connection] [82135-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | GET_PARAMETER rtsp://192.168.74.128/live/123
2024-08-16 15:02:04.618 T [test_long_connection] [82135-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | TEARDOWN rtsp://192.168.74.128/live/123
2024-08-16 15:02:04.618 D [test_long_connection] [82135-event poller 0] RtspPlayerImp.h:31 ~RtspPlayerImp | 
2024-08-16 15:02:04.618 D [test_long_connection] [82135-event poller 0] RtspPlayer.cpp:37 ~RtspPlayer | 
2024-08-16 15:02:04.618 T [test_long_connection] [82135-event poller 0] TcpClient.cpp:28 ~TcpClient | ~mediakit::RtspPlayerImp-1
2024-08-16 15:02:04.618 I [test_long_connection] [82135-decoder thread] Transcode.cpp:261 onThreadRun | decoder thread exited!
2024-08-16 15:02:04.619 I [test_long_connection] [82135-test_long_conne] EventPoller.cpp:108 ~EventPoller | event poller 0
2024-08-16 15:02:04.620 I [test_long_connection] [82135-test_long_conne] EventPoller.cpp:108 ~EventPoller | event poller 1
2024-08-16 15:02:04.620 I [test_long_connection] [82135-test_long_conne] EventPoller.cpp:108 ~EventPoller | event poller 2
2024-08-16 15:02:04.620 I [test_long_connection] [82135-test_long_conne] EventPoller.cpp:108 ~EventPoller | event poller 3
2024-08-16 15:02:04.620 I [test_long_connection] [82135-test_long_conne] logger.cpp:91 ~Logger | 
2024-08-16 15:06:02.811 D [test_long_connection] [84314-stamp thread] util.cpp:380 operator() | Stamp thread started
